00000000000000000000000000000000 0000000000000000 eedba5216d8f4b15
16f27bc4e7022264e0b807d04f869cac 03be87cc527bda3f 142657abcf591079
3d95318b2883289357f1060b9447a55b 142657abcf591079 ca65a2a06a966449
73dab2e8839652f0d46a32c0d644d4a0 ca65a2a06a966449 514d8800908a590f
27d4fc9cb4548a7843182cbc27a4a690 514d8800908a590f 8c76e26078889e39
466c32045abeca2880a05f984c7433a0 8c76e26078889e39 e07bb4b2c6081ec6
c31c1e42194687b2b59673821ea2aad2 e07bb4b2c6081ec6 f1b55d16d9f8616e
1b425842f8984b561f1ee33ad2b0d066 f1b55d16d9f8616e f12a16495c66ea83
7bb5c181ea17276128e749e1933dd599 f12a16495c66ea83 479d82ff35c24359
67bbb41397175e4fc7bb21df1cbf05df 479d82ff35c24359 22498d2bf2161947
247f11ab2e6f54bb94c342efd8ed3cab 22498d2bf2161947 c770e84a52ac67c2
6b26439e2ce8f582c932201ec2d2217a c770e84a52ac67c2 300b880a7cd9efd2
cdca2a16bc5a255a43285526e514eb0a 300b880a7cd9efd2 08ad23a6fd209107
7fe6143a9052b2ee48e8252631826416 08ad23a6fd209107 36806c35079efb7c
58c5ccc101dfcd357c259e793a69a185 36806c35079efb7c a067e5a699eaa868
941e1c76293ac1ee05400dce258ab976 a067e5a699eaa868 7ac7d30188e7abe3
17a399f5c5212609066585c9adaf6871 7ac7d30188e7abe3 a9645b07ceaf21f0
70a3b1bbf29d10a7e55b985b6185b607 a9645b07ceaf21f0 daa93473d5d6b8e0
2c63585fe06377cb2f71909bb93760b3 daa93473d5d6b8e0 d7f0426df23e6b03
787fb051b655ab5d1aa5ebe9b4797d2d d7f0426df23e6b03 559c558bf2b71ccf
d2592d631d7db70baaed32bf1b9bd04b 559c558bf2b71ccf 88346345e6e164e5
6527cdad27a19ea552473df153338765 88346345e6e164e5 e643f15025fc6baa
6c821acc54761b38df4eb78c4572ca30 e643f15025fc6baa bb0c2b9e388f5723
910a838ecbf0c72e0e6a642af1364bbe bb0c2b9e388f5723 5ef0a9904ae8016c
89a2245ca5660b08d9205c3c65928a20 5ef0a9904ae8016c c42baddd609a2a30
7b155e21378f3335c027add121279b5d c42baddd609a2a30 abb94fa67f710d54
5b926b16ceecd3f6e1348dba940808a6 abb94fa67f710d54 d09d005afa462e77
c860232692aac24ab8b0dc121d02c4aa d09d005afa462e77 86cb126ee2fd2ebe
d2fc2ba2bcdc780e2866781e1b4c9e1e 86cb126ee2fd2ebe 2af8dd1c1409a63e
1d1409082168f5ec709ea9c023f08c2c 2af8dd1c1409a63e 0ad7520491c2d757
385cb2800b9265c4066233b85344d674 0ad7520491c2d757 3442234c13decfeb
e5409b407690e2ccade8ef3c37644f7c 3442234c13decfeb c008554e0b570f1d
6c2617ea6962bd7eaf7e26ea51bcd44e c008554e0b570f1d 1cd0963bb5ac3d70
be9165ebdef5ee8b89afc8a313d3d6eb 1cd0963bb5ac3d70 823b07f72bd65b9e
bc0d08d7baf3dacf47b3adcbbc3f1417 823b07f72bd65b9e 32077ba31668a396
584baebbafcb5ba302bb44e72b6112a3 32077ba31668a396 889a2a0bc4d0f066
58158707eeb7d9e37431cb23f145002b 889a2a0bc4d0f066 df64b4ed6de42253
e6f16cc58955daed766be11d50e5727d df64b4ed6de42253 b531d600e529e500
bd2897784790f63812601d44ed60c590 b531d600e529e500 9f7cb3633273ebc2
33c1e27b7ce7d56bd5697467ba11ec33 9f7cb3633273ebc2 9ee46e27a79e3f23
19956d7fba23beb740910f131caf7f37 9ee46e27a79e3f23 6630b49ba7de8e02
e6fd566bc4f59e63f017872bce77149b 6630b49ba7de8e02 262a5f3c5527f8b2
ebd6e7103c6482949ca0aac8199a80dc 262a5f3c5527f8b2 dc4803d0a1c92b8a
f8e6e3509c5823b0d886b28023d82c80 dc4803d0a1c92b8a e7f51cfb5070b430
f557afa70087350b27bf37e36857739b e7f51cfb5070b430 09f6c2a365071ce0
6653a69f7d7fe4f3ee21bb1f7b2d6e93 09f6c2a365071ce0 2939927b47260c81
70d19dd37c9d498b8043e8a79d03edbb 2939927b47260c81 e3990e50ca873a0d
dbfa26e4decc81e0f2d2b3e0c9ecee90 e3990e50ca873a0d ad11e5206b25c8f9
c4a4e6c4878837109f94a1944fbaeb10 ad11e5206b25c8f9 cc1daeab954b37d4
44eb89179e494aeb9ccb17178c5d6fcb cc1daeab954b37d4 e83fa23b49b35618
06cd27b745a1c0ab83810163423d1aab e83fa23b49b35618 0104ef3a22711932
2f344f86df661d0a339e5c6ace9cce7a 0104ef3a22711932 9f3f27a83685b9ec
aef655a8e30e3070093654c821ce9118 9f3f27a83685b9ec 05f17561a0d0f995
cd41decd3537f7a96e6dcdc1730daa91 05f17561a0d0f995 4df8678059e1bb97
2ea4c270993846c8d482e740a66ac010 4df8678059e1bb97 37114f56271ee225
edf4bea20034a8ce200c16bea2505a66 37114f56271ee225 8d69bd10a9a0d524
c4a416887f884358849465d801c66b10 8d69bd10a9a0d524 a985e04fff26d9c8
5f7dba3b2fd792bfdb772da7b941225f a985e04fff26d9c8 0f8b9308059b918b
36d8510045862d983c78bd802d300418 0f8b9308059b918b 4b0085a59ae07a05
760f3bcda5a3b2c5d7eb1759d6bf4285 4b0085a59ae07a05 09f9796bbe37c602
e793ab6f1ef1392b0f27b5136f2774ab 09f9796bbe37c602 5ddc69d6c240ceaa
7a10d51a2b6635064f98757a509e31b6 5ddc69d6c240ceaa 3eb779c6235de8c2
369057124c9a99e634246dce1b0a6f36 3eb779c6235de8c2 f206f4e6af541708
d48ad59ee0b650ee0808894e20e0b4b6 f206f4e6af541708 dff5dd9bf1939f16
4f3bbd4f78db3a5b2faf095b07650e8b dff5dd9bf1939f16 e66420589f86c2ab
c36ad29c7b3cbd082342aac41522a278 e66420589f86c2ab f448a3b51609fa1d
96cf3fd5a4cd934d6a7b2d3d8d291fa5 f448a3b51609fa1d b26ca6222c18210a
e7beeed2d4743fd2ec5ae79a6f800a42 b26ca6222c18210a a5df6656d3c5597a
42d81706be7460ce2cd86f7aa8bc8d06 a5df6656d3c5597a 8c67a8639a58c548
00bdfa27b5373c6b7b335fe3c0ef93c3 8c67a8639a58c548 2c9fd45f6c276725
00ed3d03585f3c171c7b733f1e53340f 2c9fd45f6c276725 b512cc4581c3a4eb
d9dba49d4425dc2dcba39dbd28f18225 b512cc4581c3a4eb e4c994d299be93d9
165611d658529d321464666ee874a552 e4c994d299be93d9 e49df9b5fb57f9d1
32539489d94badf5357d19519b89ba05 e49df9b5fb57f9d1 02a4d39c3db17c9e
17ea2ae0270892dc0102eeec1156d9bc 02a4d39c3db17c9e a3402db532edf0ca
c635e9e12ad51e356d2dda155a65ecd5 a3402db532edf0ca 9eb28a03e59eba22
dedfd59f2c758d93b63f75c3a8a96a93 9eb28a03e59eba22 567007f3aac39278
c17b3407178fa9a3c361cb77c43f58a3 567007f3aac39278 08fc3f86b6ec281a
ca3e188edb3ee51e161048067c02bc16 08fc3f86b6ec281a a7bc09c6469e53c0
34126546d85c165ea5704ddadf2e8f16 a7bc09c6469e53c0 f10b0fe2cf1b9f98
eec42e0a4f1276c259a649de495a22b2 f10b0fe2cf1b9f98 6a53f04c9acfc59d
fad4684c2396644c1eace6c03a522cdc 6a53f04c9acfc59d c89d04d2db279ea2
3da0cca627565862bdd01a1a79067fe2 c89d04d2db279ea2 8d49c8f9e24b2500
99250099752136615ff30d7948793599 8d49c8f9e24b2500 b00c2c320d65dd3f
1b46eb5ae70c3c122f4e3ed6241ad4a2 b00c2c320d65dd3f 7b2183707a076620
90dc4bd8969a0f201230d170756ce290 7b2183707a076620 805d59150dcf1fe5
4c471be5d933343596cd60cdc1e1edb5 805d59150dcf1fe5 2c19278b7efa22d5
f7a197ebb81b2e1b0b2baccfd0ef7fbb 2c19278b7efa22d5 a6cdfe6e6ac7fa0e
e1e273a29378933ed5dee1826c68531e a6cdfe6e6ac7fa0e 4437bcabc24749e1
e3291e6bc1d97453441db1efc5290a6b 4437bcabc24749e1 0ebeae153f2fed0b
90e1657570b3a29d0d4bc2e11bbd5745 0ebeae153f2fed0b da195ff062bd2206
44f23a68e330d4880a2cdf4468922580 da195ff062bd2206 336f96e30c759b2d
1d6d1147578b38ab4c7186f33ec11db3 336f96e30c759b2d 38f0cee385e66dc0
db0fd89fc9c7121b657be5472a330f63 38f0cee385e66dc0 abeaf10f24c6d0a4
97077c2b52476d3f43196a07b271391f abeaf10f24c6d0a4 2b6949c020af242a
9e56f08017c6b300c13880d477988480 2b6949c020af242a e35f361928b24f90
922b57a1ac33020130a7a16962151829 e35f361928b24f90 a642c1b8799228c4
63821424ce4accb05836ccc4c6981418 a642c1b8799228c4 2dde6645a696134c
b7fb2e69d08fccbd9793ee01f03914d5 2dde6645a696134c 01b51f0c68ffc492
e12cf34830b4e4cc78ea417499bce93c 01b51f0c68ffc492 24e6d8b793f0b8d8
9b2d4ee3da23a45f4759960fb6b114d7 24e6d8b793f0b8d8 2a42b797c0dd6109
bb65975bb9c5943fda9793030ad9c307 2a42b797c0dd6109 b86c582e46136da0
ab5eb22a52ce5dbed79c15528d183f7e b86c582e46136da0 0e86674e1903b8f7
4aaac802ab2cd71e52da2c969286d80e 0e86674e1903b8f7 94e7b15e67a7a979
8c107a6e9abeaa3e611a6e8692d2a56e 94e7b15e67a7a979 71e3912cec51162f
13720794eef491b466aca98470ac927c 71e3912cec51162f 8719e3f79756e223
7c67f47339a94077e12beaf319230dc7 8719e3f79756e223 5532692f497cc523
2079479b945711ef464d5ccb1489b82f 5532692f497cc523 b5ee5779d848fb35
759b4aed0f391861e2873e111e97d139 b5ee5779d848fb35 3b48a497986d0526
bfdf65bf6adda447525f1003da654847 3b48a497986d0526 0b03a569595c43eb
1d1ba505794fc839db111335c2218559 0b03a569595c43eb ff5a74f311c36d27
c251be473b09356353d7efaf47034bb3 ff5a74f311c36d27 789947520640d4be
ab1269a2babab7d2413601ea75061842 789947520640d4be afc7f6b03cdfa1c9
1f465dac9074d3486bf4ba9476688610 afc7f6b03cdfa1c9 e3243b96feb3ac5e
d9c4ca7666520a6e84643e5a251acc16 e3243b96feb3ac5e c6eef86831a822dc
1758f0bca7b2f298db20bc4c5998d608 c6eef86831a822dc 971738b9d5dad8b9
a049536d56d7d339f631eb71ebc15519 971738b9d5dad8b9 7c45aeb8beac1fcd
2916795ccff60528aae6473026b07f38 7c45aeb8beac1fcd 0d0cd163f5d05544
4ea1adc3395d87134f9953cb7297a303 0d0cd163f5d05544 ff673deb5d8b73c9
900f8633658b30eb8bdbdb9f574fefdb ff673deb5d8b73c9 61da975c6f12e4a0
300a423c633021bca16cc1640f84ab6c 61da975c6f12e4a0 a42033df2755f3a0
d7f1205fc069865f47a1ebb79e579e5f a42033df2755f3a0 a681a55abd752542
28e89c5229500daa984c4b36b59cb90a a681a55abd752542 9e9c82d5d44aa91a
934bc9eda6edd57d14cf1b45c9454275 9e9c82d5d44aa91a b7237924a66152ea
786859c02c3281dc23300ab8787a1cb4 b7237924a66152ea 286ae7f77ac96759
72b7bf8710596f5f3a150933b4bf8027 286ae7f77ac96759 97373d659261a312
717f31354a3fec4d52119e3d239f2e35 97373d659261a312 ba2c3b808408ba22
a2849d78aff20cc00fde5c9ce4920dc0 ba2c3b808408ba22 0a88de4087d53c79
b174c8f033ca09287236b140219c17c0 0a88de4087d53c79 8377ab4d2be125c7
f3a58ad5cab7f6f532276ca996ed925d 8377ab4d2be125c7 444e1b6f996836d1
1d05c8179a1338cfafa7955fe6393bef 444e1b6f996836d1 a123a0411c894729
a62393e51c3d6ad1b97360f1c1678a01 a123a0411c894729 59aef99c2158eea8
9e1e41383b8a744c6d443fd49b20e8bc 59aef99c2158eea8 f55bcaa961841a67
c56771ddc24dbc79f3cbac65d4193c89 f55bcaa961841a67 645025b6b0619adb
906aabc63a86420672422cee758a2736 645025b6b0619adb f8a370d80de380b0
e51c71f4d14ab28859caaee06d6612b8 f8a370d80de380b0 ab9699d8fe264b0a
b4cc403c02dc3c885230c8e8692a2978 ab9699d8fe264b0a e89a4f3a0acb2664
0d94662eabbc557a552235061c24d83a e89a4f3a0acb2664 a48d90467fbf9401
09ca7f2ad9b8f6dec61e5406c35e8a36 a48d90467fbf9401 5c70dffb0163eb0e
a8676f0368f30c0b6393269b9cc7d17b 5c70dffb0163eb0e 5dfb374745801e6c
d797c7b3ae1953cf1595ebb798436ad7 5dfb374745801e6c 3864be54d8b67106
af2a1ee8f3aa7cdc53587848584ab964 3864be54d8b67106 8e4554e391edec83
0c1d7fab2a897293af9934673fc12b93 8e4554e391edec83 d42fcaf011a6d3ab
bff2a2f83cbae6486e14f108328c4fb0 d42fcaf011a6d3ab ce1f9ee4d48cb09b
711edab0b826384ccf5671d868f08b44 ce1f9ee4d48cb09b cc2f637ad13a983f
d96c19d6b8de85f295dc66cad6665fca cc2f637ad13a983f e42c0330c12d4149
44161fec2d940258a208ad0053406380 e42c0330c12d4149 6e91a61cb9f1b943
c22af7e0a104d1f45becbdd45968432c 6e91a61cb9f1b943 b75b4924f838fb65
80e8c48cc81c2fc4bb02856cd4146344 b75b4924f838fb65 0a3ab056d18d5481
4bf28d5a988c789e49b4370e7eda7996 0a3ab056d18d5481 6fa04d997bd45176
f6390e2d5a652a897c031fe5904540c9 6fa04d997bd45176 925b4f742a87fa8c
b11c3690cb98b1e4182a20080036e884 925b4f742a87fa8c 4cf10ab8e8b2b3bc
01fc867cc55622286f101aac0744a988 4cf10ab8e8b2b3bc 6bfa1bc4134304c3
464a67407fdc22148b76be6c7f1a5264 6bfa1bc4134304c3 fc55035102c04394
a69d45c1575b439911617449eeb3df01 fc55035102c04394 588971abeddb15ad
fe7d478365270b5b72ad7c4f9e05033b 588971abeddb15ad 1367c5dca7b88c6a
1da2e35c83d6d70ce402cce4d128642c 1367c5dca7b88c6a fca4cc4cda506424
ba6c71f032886f7445a279c09f50299c fca4cc4cda506424 c664297bcd60899d
cf9da7c3dbed126329ab61bb60e93b1b c664297bcd60899d 37aca424ff1e0b60
acde13a0ea5c5b5cd34c3e38c48c2834 37aca424ff1e0b60 e335db26de7ef297
1bdad9a2d32a6c86785a5cc612a23366 e335db26de7ef297 c067f662cf2bf9e0
81fc74962a040f4ac8ba5e06181ca372 c067f662cf2bf9e0 daa1ebb2244ead8b
1bf27a06f9de4be279de1b2a3c908ca2 daa1ebb2244ead8b fdbd03104b9b74d6
ce08d05cedecd440d5740178140ab6b0 fdbd03104b9b74d6 3116df5ad5bae8dd
810003ba63367262508a6d5296a8f0ea 3116df5ad5bae8dd caf3094c5685b808
148e9a2c470a9e547e921eb01a168c8c caf3094c5685b808 e78f252125fd7c0f
bdf14e752631812126c359451259da81 e78f252125fd7c0f eb7764bc6493d8f0
84cc3d909d52aed40378ac2c878a130c eb7764bc6493d8f0 07a458edae531d19
f16d8e8582b5558d96a3e7a10741913d 07a458edae531d19 eca335b284c4c39d
781e50d2855a5db29e78afd69cbe2fd2 eca335b284c4c39d 336c83ef4f04c8fb
1347c6d3b4b32557a87f4053314d2d4f 336c83ef4f04c8fb a19420ce69907a7a
2576a29a5f029d6eb0be07ea1c1ea68e a19420ce69907a7a aa1d1ba34fc4d81e
86a92317b9594af3dd95b80b444f21b3 aa1d1ba34fc4d81e 5dfc4dc19c431ca9
69438f99b4419f49af63e6e100d13ce1 5dfc4dc19c431ca9 144287e603d98e47
c4a2fb5223ec409681883d2ad9f00ea6 144287e603d98e47 a38e6ff203b64139
9432b6227ce48eb2a6ca999661a027b2 a38e6ff203b64139 277629038494bf9a
c96bd90f01ab1b4b4c2d01d3d529d733 277629038494bf9a a9414058cc8de0e2
833273684242b918c45c6fb0e6ecb138 a9414058cc8de0e2 cf619bb5e899eca6
82f918e58c414f1d21e5288d0465c555 cf619bb5e899eca6 2f44316b4dd3029e
105b6f739201e8933a1f88cb46432a5b 2f44316b4dd3029e c64718367404969c
5cc027625d169816bbe607820832c7b6 c64718367404969c 4c5092ebb9508f94
1bb99c9fa69d7833c957de8f84e9101b 4c5092ebb9508f94 f1076e77ce384472
de09bcdb6057e75f137525bf272dd357 f1076e77ce384472 1ff47d38f1f46d1b
c906af9072247238487ebae0d88ee3d8 1ff47d38f1f46d1b 6d364683da761e17
6d59e4bb912743bb7a677cbf4f3fb913 6d364683da761e17 5783d11ddb69024e
c98f88d5a42999457381cecdf0bfbf8d 5783d11ddb69024e 7185826e63373b2f
e71cc2a28a56e73e4c24d39287ee2d7e 7185826e63373b2f 3d09deb226b3eb32
d7822a4a660abc22c55c82ea5c823332 3d09deb226b3eb32 a98d6e4ad1205f72
efb2a4e6ae40e9225314f4be3220774a a98d6e4ad1205f72 324976dc3247dc94
ce843314646a6ebcad98d8d80bc295ec 324976dc3247dc94 9e061581bb54f629
3bbdd3593663e9e98f17c20d502318d1 9e061581bb54f629 255a069574f36cd2
1b37cdc91aa76f6585cf520d0c5f2975 255a069574f36cd2 ab62ac16254c56cc
d05eda766d12beee2e0a306276560076 ab62ac16254c56cc bd88b8dc95996ca0
db680f6c352c2a1c03ea18ac1bb41dcc bd88b8dc95996ca0 8e1e45c68e4feea8
b844d0d6da723de63f0a27863436acd6 8e1e45c68e4feea8 0c2d78e8985a1df6
9af038b8c2a4ac3078dcb860286477b8 0c2d78e8985a1df6 b5846d890a047b3e
312dd69d018be5c90567eaa19d1b52a9 b5846d890a047b3e 0e663ab66f5ea4be
653886aa03e2b3ce9974bfe659709d56 0e663ab66f5ea4be 0e72a4218a9df8a6
46a79e85b69173b9c90dd299bba9c991 0e72a4218a9df8a6 f415ad3ae88e8c5d
f19a1146473855f28da6e72222e2976a f415ad3ae88e8c5d 51aa70a9375bbdd0
16c5aecd2ccfd6618f97b1293d4baed9 51aa70a9375bbdd0 2aa4edfdc4695f0e
bac320d5f697c9ad630fcee17bc5158d 2aa4edfdc4695f0e ccde03b3b528bdb1
62a568a778037d43b359bc97a7cb0953 ccde03b3b528bdb1 89a4c740490d871f
36b6119cc404d2d09de4721093065090 89a4c740490d871f 55f52534788a5092
a4086decaacc891cbfce9f90148e92a4 55f52534788a5092 6e7d522ee9dd03a8
6c42565a0c30992ecb783002096c6d4e 6e7d522ee9dd03a8 7aae12212fe8f9bf
5cd98c719107e979e483a2ad206b3311 7aae12212fe8f9bf fd25cdc475766809
b5ee84a0899c55441a9ab570df5828c4 fd25cdc475766809 0ced7e52907430e5
ca6c866a69d40a520f8e395e619c7852 0ced7e52907430e5 e6391dbee5c0f178
fb1ea93e8b609b3e5514b5aa6b88b8ce e6391dbee5c0f178 450c6f6de057edec
2ea98879336ff18d114f339d8bebcd3d 450c6f6de057edec c1a0574cffb980f3
06949dd8162e18d48d6cb5cc2d50db9c c1a0574cffb980f3 c353fe954e915d48
ab095c69081fabc595575b11e793af15 c353fe954e915d48 0fb768e8ae78c853
18164200aeb884780384774863425418 0fb768e8ae78c853 11b57631e25f1037
6e81d6dd0ac389c907a73c35175d9141 11b57631e25f1037 a4ec4de0cad660b1
bf5eb0bc986a68d8229ed868e016b1b0 a4ec4de0cad660b1 75ccf96cb263ff91
a8481f0cf5dabaa4b318f3a46faed66c 75ccf96cb263ff91 6c223b0414239343
cd6a72885ba022a411402dcc4088d464 6c223b0414239343 60658c0fc130c49f
61c58d13b4e31ccf990dbb67b577717f 60658c0fc130c49f ce271073904fac8b
79ad047f3f6f5853cd5b8d27e2bfb2d3 ce271073904fac8b 577dfa024352e7b1
d1aeb202c02c77eada9e9532da2e98c2 577dfa024352e7b1 cb98849af647e0d0
836e3ee67810da3267f26f72b928921a cb98849af647e0d0 d82c428add29334d
d18eef3ecd1898f2de2cae768f349e4a d82c428add29334d bd4460639624dce1
c52b1e3b33c5ce3b043b11b795139ee3 bd4460639624dce1 09f3cd3801eced6a
03f04130f9e43320eae453708ae6d8a8 09f3cd3801eced6a f33efd50038dc24b
80ee73f88a445c2811986c44ef7eea80 f33efd50038dc24b ee42581dad6213ba
a657e525f35b6a5564019cdd7f4b313d ee42581dad6213ba cf991d8fcc282c31
16b7704f7725a057ba670243104f187f cf991d8fcc282c31 61707ebe7c27f584
0f8e937eb7b4f0f65db4af06639e901e 61707ebe7c27f584 d989eefbd9fd8864
4ed9d69372e9900b127b3f5bed479f7b d989eefbd9fd8864 b173074585bcb417
71b555a104e9e695a0cbee01e0c3c635 b173074585bcb417 04fa3d666e11ba27
a2f071428152cf2669c05746aebe9a66 04fa3d666e11ba27 741afc47e7a0b8d6
d2539163a64b4597599f9b839939b187 741afc47e7a0b8d6 90863a2b5f926f18
7c45fb2b614585e33a5b40df61cf768b 90863a2b5f926f18 0f9f1a81a660d83e
4aaf13d155f93259da2faed51dd99fd1 0f9f1a81a660d83e 4b1f7c2b5f8aa7dc
12fdbd271467120335ab7baf6fd3247b 4b1f7c2b5f8aa7dc 28b021e0e59fcf64
da2cccbc00948cf0da6299a8b3e27080 28b021e0e59fcf64 e1df8513b2273951
5ab7977bf8c39f6b1ebd82a3849775c3 e1df8513b2273951 7e1cfab8b943385f
4e1a22783f9ed228e2784edcc090eea8 7e1cfab8b943385f 807a28bb20bf2242
de01369f6ed933c3014b2f370641a81b 807a28bb20bf2242 ba52e8ef51196661
e5e975135d09d09744cd590713cdb74f ba52e8ef51196661 01cd1f704af9952d
5ef03534f6900a68bc1c810cb298be40 01cd1f704af9952d 82d9af4e2a74d4e3
5a32f7de261403568518919ee73c541e 82d9af4e2a74d4e3 260e25fc36228d44
56b2fa200fba26441caa0b384d608bec 260e25fc36228d44 6508dcec8e647e8b
37f6999469a0d09caab278c0706287dc 6508dcec8e647e8b 0996133899447915
ea04bc54060ea820a68a0e68e4d27718 0996133899447915 a9162e4455404bd9
324ca050888cad54ec14505cf2065d14 a9162e4455404bd9 786cdcc242658625
84f80696a948817a606ce32e96a0c7a2 786cdcc242658625 05e95cd1742ddc35
1d5fbb595be529415a9b3649088f23d1 05e95cd1742ddc35 a87fd2b9ce35f231
b4aba9c93b370f21dbcf91c539a91969 a87fd2b9ce35f231 329e0994f442c723
6eb6a47466becbdc4d6ea560080ad714 329e0994f442c723 a5d4f4a0bb0bc7aa
1016abdcc5927fd80b76ab48e55e6f10 a5d4f4a0bb0bc7aa ae5e78221a3bc918
a70a773288dead7ada8639be172a1602 ae5e78221a3bc918 906d8c4f7656ffd6
d9a93707a9c5103f2aa9b6538579617f 906d8c4f7656ffd6 6b74705c37bc3760
ac703cac6e34b8cc490af21c6d1017ac 6b74705c37bc3760 485dca887e608267
f8daeaecacf8b0b0e13ead4402ea3f08 485dca887e608267 9f1c53d8cd3d4f8a
e7f2cb547a42b70858f03880543cd0d8 9f1c53d8cd3d4f8a 7477b9397cfeb1a3
de35082d86079f6159a57a11a2975039 7477b9397cfeb1a3 07bad0cef718db3a
6198a3b2f5a2e5f61158116697da748e 07bad0cef718db3a 2fc4e8c1e76fd3e0
9e277fd1502b98d938e953b16ed76671 2fc4e8c1e76fd3e0 2cf9d4541ce5cc60
4f4e65ac444ae244900ad650a32e2f04 2cf9d4541ce5cc60 9fd4de0070b695f7
5318245cb53af520db867110d1666180 9fd4de0070b695f7 0d1f1d13ef5725cd
5c33e6cb3675e0d3a5ad4dd3b041d4e3 0d1f1d13ef5725cd fc1d49e2db40fb1c
46daade2ba8cc702d01087465b089182 fc1d49e2db40fb1c 745926f0ec60a333
e44cefa857e454a0e03ccbd8a88ce130 745926f0ec60a333 dc335e10848a53fc
7e8877a891bac67082e4a1c896566b60 dc335e10848a53fc fdfb23689dbc96d7
859abf281bf84ca0b15267044372f058 fdfb23689dbc96d7 01cad53c1da21374
dd200eb0194c594c31140104297c18ec 01cad53c1da21374 15003ac897ae6eac
18e6b60c67545a08df847c60c0487f18 15003ac897ae6eac 484303b3eb447bc8
420dcd4b4ca12abb4cbd1a4f6f8bbc33 484303b3eb447bc8 9b6b4f7605c0b7c9
cca6bedee0ae429ee242e5367b3ae436 9b6b4f7605c0b7c9 8ec7b21a58469c4b
231c719e2fb4da5aeb74c8e6d4a888aa 8ec7b21a58469c4b e5c1a2f3c7893f96
3e7b2fef747fefc30de3a29b4d4537e3 e5c1a2f3c7893f96 ce933415cdb316af
ab4be78d58793cf52c5724458de76515 ce933415cdb316af 2b809e3ce8100890
86d840c88a9a1a24db7a27147798b82c 2b809e3ce8100890 93219d4da77c4673
9faf0739e9d1b15db0a54089aee37bbd 93219d4da77c4673 dae1753dd7fd08c7
6f91e3bd8ac91b25ae9fe7a1ea1d798d dae1753dd7fd08c7 bf0e84dfdcaf48d8
3227535f08197417065f5f4f8c95015f bf0e84dfdcaf48d8 1a4bafd10ca602de
e63357f5b94b5381892300d16e83d641 1a4bafd10ca602de 95b37c3e94a67946
04baf96abcb8340e39b8a9327cd8ab5e 95b37c3e94a67946 b7bc43638242a158
1ba366db942f5adb956f6b9f4287cf93 b7bc43638242a158 575dbac15e6aec65
316d8eb510c72561cdc7aee901578831 575dbac15e6aec65 1ea968eedbcab3cd
1f5c62eec7b073d6b1d015464c0a582e 1ea968eedbcab3cd a6a84ecb02a82e8b
69496adbc04bb763ab151e67a5a1384b a6a84ecb02a82e8b ae20d2549180e323
f5f686e05a5038940832d2c8f25a0414 ae20d2549180e323 67c20551d900bf56
80a745dd0a5d83311f17e47db99d2f71 67c20551d900bf56 b634285e7bbb0b56
713c1e86f8126ece0cf294ea2c762c9e b634285e7bbb0b56 9b497e444730875a
a74ae4443db6ad2c44260c402934ded4 9b497e444730875a 9e25cab39316b750
42d947631b6551f3863f6a6fbde17c33 9e25cab39316b750 681d8debbfc47d19
fec3b96b6b59daab873b9583e9cf3e3b 681d8debbfc47d19 db0c38d81a05739b
